Switchhostname,Ipaddress,Model
BallroomA,10.1.0.10,2810-24G
BallroomB,10.1.0.11,2810-24G
BallroomC,10.1.0.12,2530-24
BallroomDE,10.1.0.13,2530-24G
BallroomF,10.1.0.14,2810-24G
BallroomG,10.1.0.15,2530-24
BallroomH,10.1.0.16,2810-24G
BallroomJ,10.1.0.17,2530-24
BallroomI,10.1.0.18,2530-24
BallroomMDF,10.1.0.19,2530-48G
Conference MDF,10.1.0.20,2530-48G
Room101-102,10.1.0.21,2610-24
Room103,10.1.0.22,2610-24
Room104-105,10.1.0.23,2610-24
Room107,10.1.0.24,2610-24
Room106,10.1.0.25,2610-24
Room211,10.1.0.26,2610-24
Room210-209,10.1.0.27,2610-24
Room208,10.1.0.28,2610-24
Room205,10.1.0.29,2530-48G
Room215,10.1.0.30,2530-48G
Room214,10.1.0.31,2610-24
Regdesk,10.1.0.32,2530-24
Expo1,10.1.0.33,2610-24
Expo2,10.1.0.34,2610-24
Expo3,10.1.0.35,2610-24
Expo4,10.1.0.36,2610-24
Expo5,10.1.0.37,2610-24
Expo6,10.1.0.38,2610-24
Expo7,10.1.0.39,2610-24
Expo8,10.1.0.40,2620-24
Expo9,10.1.0.41,2610-24
Expo10,10.1.0.42,2610-24
Expo11,10.1.0.43,2610-24
Expo12,10.1.0.44,2610-24
Expo13,10.1.0.45,2530-24
